"cohort_label","outcome_label","model_label","term","hazard_ratio","conf_low","conf_high","p_value"
"Age 65+ matched cohort","Outcome 2","Model 2: exposure + demographics","demo_raceMissing",1.09588106427594,0.89243212320129,1.34571053172152,0.382213728993013
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","exposure_groupExposure_B",0.974186649941925,0.888503446249373,1.06813274943529,0.577692041905515
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","demo_age",1.03606533304185,1.02944700239859,1.04272621303482,2.32373684547828e-27
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","demo_sex1",1.0181527380587,0.92861337702525,1.11632572140756,0.701692035277178
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","demo_raceGroup_B",0.952242436264825,0.866140598818406,1.04690353813294,0.31152612374569
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","demo_raceMissing",1.09378165852327,0.890707487069002,1.34315511421005,0.392300049651971
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_11",2.15298981313854,1.91040382778499,2.42637973608584,2.97197720743174e-36
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_21",1.29653176248299,1.17415139095106,1.43166769130651,2.84149312188844e-07
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_31",1.22692570840621,1.10660634322462,1.3603271869575,0.000102941945615725
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_41",0.968965792440786,0.864967580407302,1.0854680894263,0.586287028812925
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_51",0.972802640554637,0.878780866597786,1.07688391206543,0.594939547522651
"Age 65+ matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_61",0.981100874421073,0.857499436938579,1.12251843479489,0.781228526022261
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","exposure_groupExposure_B",0.938558834033205,0.855954522040508,1.02913491576844,0.177337925312029
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","demo_age",1.02448246293278,1.01786700437416,1.03114091757218,2.52119833836344e-13
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","demo_sex1",1.04541151526676,0.953471208256533,1.14621734436087,0.344383625976825
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","demo_raceGroup_B",0.950970474671428,0.864974212029111,1.04551653808884,0.298549880349923
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","demo_raceMissing",1.07763410387717,0.877536829603978,1.32335786107487,0.475576849553798
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_11",1.64068705595398,1.45194058117716,1.85396981837405,2.01810612544029e-15
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_21",1.13870320796537,1.03037113283297,1.25842519701182,0.0108797740261427
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_31",1.23763655643785,1.11630562688679,1.37215490895908,5.1224289505213e-05
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_41",0.964958012363559,0.861424618413577,1.08093493698781,0.537899809031698
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_51",0.987582971525576,0.89211622244089,1.09326576640289,0.809644771344018
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_61",0.973126814529627,0.850514150991177,1.1134156863269,0.69177377052414
"Age 65+ matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_continuous_1",0.964638848273537,0.961414057539812,0.967874455653009,1.43851322097421e-98
